"시점",15세 이상 전체,15세 이상 전체,15세 이상 전체,15세 이상 전체,15세 이상 전체
"시점",경제활동인구 (천명),취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2014.01",25941,25050,891,3.4,58.8
"2014.02",26292,25116,1176,4.5,58.9
"2014.03",26488,25463,1026,3.9,59.7
"2014.04",27018,25985,1033,3.8,60.9
"2014.05",27066,26112,955,3.5,61.1
"2014.06",27131,26178,953,3.5,61.2
"2014.07",27194,26280,914,3.4,61.4
"2014.08",27077,26183,894,3.3,61.1
"2014.09",27064,26213,851,3.1,61.1
"2014.10",27108,26247,861,3.2,61.1
"2014.11",27082,26260,822,3.0,61.1
"2014.12",26568,25679,888,3.3,59.7
"2015.01",26380,25392,988,3.7,59.0
"2015.02",26671,25471,1200,4.5,59.1
"2015.03",26840,25766,1074,4.0,59.8
"2015.04",27204,26153,1051,3.9,60.6
"2015.05",27453,26431,1022,3.7,61.2
"2015.06",27488,26440,1048,3.8,61.2
"2015.07",27536,26538,998,3.6,61.3
"2015.08",27294,26369,925,3.4,60.9
"2015.09",27355,26487,867,3.2,61.1
"2015.10",27358,26519,840,3.1,61.2
"2015.11",27298,26469,829,3.0,61.0
"2015.12",26965,26098,867,3.2,60.1
"2016.01",26631,25646,985,3.7,59.0
"2016.02",26925,25615,1309,4.9,58.9
"2016.03",27133,25980,1153,4.2,59.7
"2016.04",27398,26325,1074,3.9,60.5
"2016.05",27617,26613,1004,3.6,61.1
"2016.06",27720,26718,1002,3.6,61.3
"2016.07",27737,26765,973,3.5,61.3
"2016.08",27690,26696,994,3.6,61.2
"2016.09",27679,26697,983,3.5,61.1
"2016.10",27666,26746,920,3.3,61.2
"2016.11",27613,26762,851,3.1,61.2
"2016.12",27211,26347,864,3.2,60.2
"2017.01",26886,25878,1008,3.7,59.1
"2017.02",27321,25979,1342,4.9,59.3
"2017.03",27579,26443,1137,4.1,60.3
"2017.04",27911,26744,1167,4.2,61.0
"2017.05",27987,26992,995,3.6,61.5
"2017.06",28081,27020,1061,3.8,61.5
"2017.07",28037,27078,958,3.4,61.6
"2017.08",27903,26904,999,3.6,61.2
"2017.09",27943,27011,932,3.3,61.4
"2017.10",27920,27026,894,3.2,61.4
"2017.11",27889,27019,871,3.1,61.4
"2017.12",27516,26604,913,3.3,60.4
"2018.01",27232,26213,1020,3.7,59.5
"2018.02",27348,26083,1265,4.6,59.2
"2018.03",27811,26555,1257,4.5,60.2
"2018.04",28029,26868,1161,4.1,60.9
"2018.05",28184,27064,1121,4.0,61.3
"2018.06",28161,27126,1034,3.7,61.4
"2018.07",28123,27083,1039,3.7,61.3
"2018.08",28039,26907,1133,4.0,60.9
"2018.09",28079,27055,1024,3.6,61.2
"2018.10",28063,27090,973,3.5,61.2
"2018.11",28092,27184,909,3.2,61.4
"2018.12",27582,26638,944,3.4,60.1
"2019.01",27455,26232,1224,4.5,59.2
"2019.02",27649,26346,1303,4.7,59.4
"2019.03",28002,26805,1197,4.3,60.4
"2019.04",28284,27038,1245,4.4,60.8
"2019.05",28468,27322,1145,4.0,61.5
"2019.06",28545,27408,1137,4.0,61.6
"2019.07",28480,27383,1097,3.9,61.5
"2019.08",28216,27358,858,3.0,61.4
"2019.09",28288,27404,884,3.1,61.5
"2019.10",28373,27509,864,3.0,61.7
"2019.11",28380,27515,866,3.1,61.7
"2019.12",28095,27154,942,3.4,60.8
"2020.01",27952,26800,1153,4.1,60.0
"2020.02",27991,26838,1153,4.1,60.0
"2020.03",27789,26609,1180,4.2,59.5
"2020.04",27734,26562,1172,4.2,59.4
"2020.05",28209,26930,1278,4.5,60.2
"2020.06",28283,27055,1228,4.3,60.4
"2020.07",28244,27106,1138,4.0,60.5
"2020.08",27949,27085,864,3.1,60.4
"2020.09",28012,27012,1000,3.6,60.3
"2020.10",28116,27088,1028,3.7,60.4
"2020.11",28208,27241,967,3.4,60.7
"2020.12",27661,26526,1135,4.1,59.1
"2021.01",27388,25818,1570,5.7,57.4
"2021.02",27718,26365,1353,4.9,58.6
"2021.03",28138,26923,1215,4.3,59.8
"2021.04",28361,27214,1147,4.0,60.4
"2021.05",28698,27550,1148,4.0,61.2
"2021.06",28730,27637,1093,3.8,61.3
"2021.07",28568,27648,920,3.2,61.3
"2021.08",28346,27603,744,2.6,61.2
"2021.09",28439,27683,756,2.7,61.3
"2021.10",28528,27741,788,2.8,61.4
"2021.11",28528,27795,734,2.6,61.5
"2021.12",28278,27298,979,3.5,60.4
"2022.01",28096,26953,1143,4.1,59.6
"2022.02",28356,27402,954,3.4,60.6
"2022.03",28627,27754,873,3.0,61.4
"2022.04",28942,28078,864,3.0,62.1
"2022.05",29374,28485,889,3.0,63.0
"2022.06",29366,28478,888,3.0,62.9
"2022.07",29311,28475,836,2.9,62.9
"2022.08",29025,28410,615,2.1,62.8
"2022.09",29093,28389,704,2.4,62.7
"2022.10",29110,28418,692,2.4,62.7
"2022.11",29087,28421,666,2.3,62.7
"2022.12",28674,27808,866,3.0,61.3
"2023.01",28387,27363,1024,3.6,60.3
"2023.02",28604,27714,890,3.1,61.1
