"time",전산업생산지수
"2017.01",98.0
"2017.02",97.8
"2017.03",99.2
"2017.04",98.0
"2017.05",98.5
"2017.06",98.3
"2017.07",98.3
"2017.08",98.7
"2017.09",99.9
"2017.10",98.9
"2017.11",99.3
"2017.12",98.7
"2018.01",99.7
"2018.02",100.3
"2018.03",99.2
"2018.04",100.6
"2018.05",100.7
"2018.06",100.6
"2018.07",101.0
"2018.08",101.0
"2018.09",100.2
"2018.10",101.1
"2018.11",99.8
"2018.12",99.2
"2019.01",100.7
"2019.02",98.2
"2019.03",99.5
"2019.04",100.9
"2019.05",101.1
"2019.06",99.9
"2019.07",101.5
"2019.08",101.7
"2019.09",101.6
"2019.10",101.9
"2019.11",101.8
"2019.12",103.2
"2020.01",103.6
"2020.02",100.5
"2020.03",99.1
"2020.04",97.1
"2020.05",95.8
"2020.06",98.9
"2020.07",99.4
"2020.08",99.5
"2020.09",101.0
"2020.10",101.3
"2020.11",102.0
"2020.12",101.8
"2021.01",101.7
"2021.02",104.0
"2021.03",104.9
"2021.04",103.8
"2021.05",104.5
"2021.06",105.1
"2021.07",104.4
"2021.08",104.8
"2021.09",106.0
"2021.10",106.4
"2021.11",107.6
"2021.12",109.4
"2022.01",109.9
"2022.02",108.2
"2022.03",110.3
"2022.04",110.0
"2022.05",110.4
"2022.06",110.9
"2022.07",111.2
"2022.08",110.6
"2022.09",110.6
"2022.10",109.4
"2022.11",108.9
"2022.12",109.0
"2023.01",109.0
