Month,~3Month,3~6Month,6~12Month,12~18Month,18Month~
2016-09,512,304,153,166,13
2016-10,498,296,112,127,14
2016-11,438,266,136,147,11
2016-12,444,268,136,152,16
2017-01,615,275,104,118,14
2017-02,943,278,112,122,10
2017-03,708,287,129,142,14
2017-04,624,406,124,137,13
2017-05,480,396,106,119,13
2017-06,514,420,110,127,16
2017-07,477,304,165,177,12
2017-08,502,315,171,182,11
2017-09,499,273,145,161,16
2017-10,462,286,132,146,14
2017-11,419,291,149,160,11
2017-12,465,291,141,157,16
2018-01,603,270,125,148,23
2018-02,826,285,139,154,16
2018-03,796,309,133,152,19
2018-04,694,326,124,141,17
2018-05,537,449,116,135,19
2018-06,485,415,124,135,11
2018-07,530,368,132,140,8
2018-08,630,317,176,185,9
2018-09,520,322,172,183,10
2018-10,461,348,148,163,15
2018-11,429,336,131,143,12
2018-12,456,316,156,172,16
2019-01,776,293,141,155,14
2019-02,862,288,139,153,15
2019-03,739,312,133,146,13
2019-04,789,335,113,121,8
2019-05,628,408,105,109,4
2019-06,550,466,115,121,6
2019-07,533,422,131,142,11
2019-08,361,333,150,164,14
2019-09,430,279,163,174,11
2019-10,494,232,131,139,8
2019-11,470,258,132,138,6
2019-12,535,279,122,128,7
2020-01,754,306,81,93,12
2020-02,734,305,98,114,16
2020-03,774,319,80,87,8
2020-04,714,367,86,92,6
2020-05,735,443,94,100,6
2020-06,715,405,104,108,4
2020-07,606,420,109,112,3
2020-08,367,357,137,140,3
2020-09,561,303,133,136,3
2020-10,606,260,159,162,3
2020-11,503,321,134,142,9
2020-12,667,338,120,130,10
2021-01,1079,366,109,125,15
2021-02,820,395,119,139,19
2021-03,676,411,108,128,21
2021-04,652,366,114,129,15
2021-05,641,381,117,127,10
2021-06,586,352,144,155,11
2021-07,441,351,120,129,9
2021-08,310,301,121,132,11
2021-09,388,253,107,115,8
2021-10,448,211,118,128,10
2021-11,394,224,107,116,9
2021-12,629,241,94,109,15
2022-01,816,241,77,87,10
2022-02,634,238,74,82,8
2022-03,522,264,79,88,8
2022-04,510,262,85,91,6
2022-05,539,265,73,86,13
2022-06,514,263,103,110,7
2022-07,415,318,90,104,14
2022-08,264,256,84,95,11
2022-09,374,227,92,102,10
2022-10,390,193,102,109,7
2022-11,363,207,90,96,6
2022-12,572,221,70,73,4
2023-01,713,238,66,72,6
